verse_key,auh,fr
MAT.1.1,"Ifi efikolwe fyakwa Yesu Klistu mwana Davidi, mwana Ablahamu.","Généalogie de Jésus-Christ, fils de David, fils dAbraham."
MAT.1.2,"Ablahamu afyele Isaki, Isaki naye afyele Yakobo, Yakobo afyele Yuda na bawabo.",Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;.
MAT.1.3,"Yuda afyele Pelesi na Sela muli Tama. Peleshi afyele Heshiloni, Heshiloni afyele, Lamu.",Juda engendra de Thamar Pharès et Zara; Pharès engendra Esrom; Esrom engendra Aram;.
MAT.1.4,"Lamu wishi lyakwa Aminadabu uwafyele Nashoni, Nashoni naye afyele Samoni.",Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;.
MAT.1.5,"Samoni afyele Boasi elo Boasi afyele Obedi uo nyina ali ni Lute, Obedi e wafyele Yese.",Salmon engendra Boaz de Rahab; Boaz engendra Obed de Ruth;.
MAT.1.6,kabili Yese e wishi lya mfumu Davidi. Davidi naye epakufyalamo Solomoni muli muka Uliya.,Obed engendra Isaï; Isaï engendra David. Le roi David engendra Salomon de la femme dUrie;.
MAT.1.7,"Solomoni e wishi lyakwa Lehoboamu, na Lehoboamu afyele Abiya uwali wishi lyakwa Asa.",Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asa;.
MAT.1.8,"Asa afyele Yehoshafati wishi lyakwa Yeholamu, Yeholamu afyele Usiya.",Asa engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozias;.
MAT.1.9,"Usiya naye afyele Yotamu naye kwisa kufyala Ahasi, Ahasi afyele Hesekia.",Ozias engendra Joatham; Joatham engendra Achaz; Achaz engendra Ézéchias;.
MAT.1.10,wishi lyakwa Manase. Manase afyele Amosi. Amosi naye afyele Yosiya.,Ézéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;.
MAT.1.11,Elo Yosiya naye epakuba wishi lyakwa Yekoniya na bawabo panuma ya kusendwa bunkole ku Babiloni.,"Josias engendra Jéchonias et ses frères, au temps de la déportation à Babylone."
MAT.1.12,Yekoniya naye afyele Shealiteli panuma ya ku sendwa bunkole ku Babiloni. Shealiteli afyele Selubabele.,"Après la déportation à Babylone, Jéchonias engendra Salathiel; Salathiel engendra Zorobabel;."
MAT.1.13,"Selubabele afyele Abihudi, Abihudi afyele Elyakimu elo Elyakimu naye epakufyala Asoli.",Zorobabel engendra Abiud; Abiud engendra Éliakim; Éliakim engendra Azor;.
MAT.1.14,Asoli afyele Sadoki. Sadoki afyele Akimu elo Akimu naye epakufyala Elyudi.,Azor engendra Sadok; Sadok engendra Achim; Achim engendra Éliud;.
MAT.1.15,"Elyudi afyele Elyesa, Elyesa e wishi lyakwa Matani. Matani afyele Yakobo.",Éliud engendra Éléazar; Éléazar engendra Matthan; Matthan engendra Jacob;.
MAT.1.16,"Yakobo naye ewafyele Yosefu muka Maliya nyina lyakwa Yesu uyo bakuuta ati, Klistu.","Jacob engendra Joseph, lépoux de Marie, de laquelle est né Jésus, qui est appelé Christ."
MAT.1.17,Ekyo inkulo shonse ukutampila fye pali Ablahamu ukushinta pali Davidi shaba ikumi limo na shine. Kabili ukufuma kuli Davidi ukushinta fye na ku kusendwa bunkole ku Babiloni napo pali nkulo ikumi limo na shine. Kabili ukutampila panshita ya muli bunkole ukushinta pali Klistu napo pali pitilepo inkulo ikumi limo na shine.,"Il y a donc en tout quatorze générations depuis Abraham jusquà David, quatorze générations depuis David jusquà la déportation à Babylone, et quatorze générations depuis la déportation à Babylone jusquau Christ."
MAT.1.18,"Ifi efyali ukufyalwa kwakwa Yesu Klistu. Maliya uwaishile kufyala Yesu alisongelwe kuli Yosefu. Nomba ulo tabalati kubapamo, kyalisangilwe ati Maliya alimitile ukupitila mu maka ya Mupashi wa Mushilo.","Voici de quelle manière arriva la naissance de Jésus-Christ. Marie, sa mère, ayant été fiancée à Joseph, se trouva enceinte, par la vertu du Saint-Esprit, avant quils eussent habité ensemble."
MAT.1.19,"Nomba ikyo Yosefu ali mololoke, tafwaile kusebanya Maliya. Alipingile fye ukumulekela mu nkaama.","Joseph, son époux, qui était un homme de bien et qui ne voulait pas la diffamer, se proposa de rompre secrètement avec elle."
MAT.1.20,"Ulo akili akotontonkanyapo, Malaika wakwa Shikulu alimubonekele kutulo mu kiloto no kumweba ati, Yosefu mwana Davidi, wiba na mwenso pakusenda Maliya pakwebati abe mukashi obe, pantu ikyo emitile kyakufuma kuli Mupashi wa Mushilo.","Comme il y pensait, voici, un ange du Seigneur lui apparut en songe, et dit: Joseph, fils de David, ne crains pas de prendre avec toi Marie, ta femme, car lenfant quelle a conçu vient du Saint-Esprit;."
MAT.1.21,"Akesa kufyala umwalalume na webo ukamwinikile ati, Yesu, ikyo eukesa kupususha abantu bakwe ku membu shabo.","elle enfantera un fils, et tu lui donneras le nom de Jésus; cest lui qui sauvera son peuple de ses péchés."
