language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,target_text_raw,unit_type,domain,licence,review_status,quality_flags,notes
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,771e3b36ced177f8,kit10k:2,Te souviens-tu du jour où nous nous sommes rencontrés ?,Congo Swahili,Je! Unakumbuka siku tuli kutananaka?,Je! Unakumbuka siku tuli kutananaka?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,6ff6b3f6cf31040f,kit10k:3,Tom n'a pas pu aller à l'école pendant trois semaines.,Congo Swahili,Tom hakuwai enda ku masomo kwa muda wa miezi tatu.,Tom hakuwai enda ku masomo kwa muda wa miezi tatu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,6e70a90e56808a7f,kit10k:4,Ton pantalon est sale.,Congo Swahili,Pantalon yako inachafuka.,Pantalon yako inachafuka.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,6eb64704a760bb75,kit10k:5,J'aimerais savoir ce que tu cherches.,Congo Swahili,Ningependa kujua chenye unatafuta.,Ningependa kujua chenye unatafuta.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,e671c088f987aaa5,kit10k:6,Veux-tu que je dise à Tom que nous ne le ferons pas ?,Congo Swahili,Je! Unataka nimwambie Tom kama hatutaifanya?,Je! Unataka nimwambie Tom kama hatutaifanya?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,06a6fad71c2a7ac4,kit10k:7,Tom a pris une semaine de congé.,Congo Swahili,Tom alikamata mapumuziko ya juma moya.,Tom alikamata mapumuziko (congé) ya juma moya.,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,96d445d9cbac0448,kit10k:8,Nous étions assis sur un banc dans le parc.,Congo Swahili,Tulikuwa naikala ku kiti ndani ya bustani.,Tulikuwa naikala ku kiti (banc) ndani ya bustani.,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,efdc6377b38969da,kit10k:9,Elle est revenue ici.,Congo Swahili,Alirudia hapa.,Alirudia hapa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f5f0df55996bb7e1,kit10k:10,Elle a abandonné ses fils.,Congo Swahili,Aliacha natupa batoto yake.,Aliacha natupa batoto yake.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d8c78c3b22d19d8f,kit10k:11,Tu jouais.,Congo Swahili,Ulikua nacheza.,Ulikua nacheza.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
