verse_key,hav,fr
MAT.1.1,"Chinoola cho gisisi Yeesu Kirisitu , aburhwaga mo: aliiri w'omu mulala gwa mwami Daawudi. Na Daawudi aliiri w'omu mulala gw'Abrahaamu.","Généalogie de Jésus-Christ, fils de David, fils dAbraham."
MAT.1.2,Abrahaamu aburha Isaka. Na Isaka aburha Yakobo. Na Yakobo aburha Yuuda na beene baabo.,Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;.
MAT.1.3,Na Yuuda aburha Pereesi na Zeera ku mukaage Tamaari. Na Pereesi aburha Hesirooni. Na Hesirooni aburha Aramu.,Juda engendra de Thamar Pharès et Zara; Pharès engendra Esrom; Esrom engendra Aram;.
MAT.1.4,Na Aramu aburha Aminadaabu. Na Aminadaabu aburha Nasoni. Na Nasoni aburha Salumooni.,Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;.
MAT.1.5,Na Salumooni aburha Bowazi ku mukaage Rahabu. Na Bowazi aburha Obedi ku mukaage Ruuta. Na Obedi aburha Yeese.,Salmon engendra Boaz de Rahab; Boaz engendra Obed de Ruth;.
MAT.1.6,Na Yeese aburha mwami Daawudi. Na Daawudi aburha Salomoono ku muka Uriya.,Obed engendra Isaï; Isaï engendra David. Le roi David engendra Salomon de la femme dUrie;.
MAT.1.7,Na Salomoono aburha Robowamu. Na Robowamu aburha Abiya. Na Abiya aburha Asafu .,Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asa;.
MAT.1.8,Na Asafu aburha Yosafaati. Na Yosafaati aburha Yoramu. Na Yoramu aburha Uziya.,Asa engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozias;.
MAT.1.9,Na Uziya aburha Yotamu. Na Yotamu aburha Ahaazi. Na Ahaazi aburha Ezekiya.,Ozias engendra Joatham; Joatham engendra Achaz; Achaz engendra Ézéchias;.
MAT.1.10,Na Ezekiya aburha Manase. Na Manase aburha Amoosi . Na Amoosi aburha Yoziyasi.,Ézéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;.
MAT.1.11,"Na Yoziyasi aburha Yekoniya, na beene baabo omu mango aBaisraheeli baheekwaga omu gihugo ch' eBabilooni .","Josias engendra Jéchonias et ses frères, au temps de la déportation à Babylone."
MAT.1.12,"Enyuma y'okoola guheekwa eyoola munda, Yekoniya aburha Shalitiyeeri. Na Shalitiyeeri aburha Zorobabeeli.","Après la déportation à Babylone, Jéchonias engendra Salathiel; Salathiel engendra Zorobabel;."
MAT.1.13,Na Zorobabeeli aburha Abiyuudi. Na Abiyuudi aburha Eliyakiimu. Na Eliyakiimu aburha Azoori.,Zorobabel engendra Abiud; Abiud engendra Éliakim; Éliakim engendra Azor;.
MAT.1.14,Na Azoori aburha Sadooki. Na Sadooki aburha Akiimu. Na Akiimu aburha Elihuudi.,Azor engendra Sadok; Sadok engendra Achim; Achim engendra Éliud;.
MAT.1.15,Na Elihuudi aburha Eliyezeeri. Na Eliyezeeri aburha Mataani. Na Mataani aburha Yakobo.,Éliud engendra Éléazar; Éléazar engendra Matthan; Matthan engendra Jacob;.
MAT.1.16,Na Yakobo aburha Yozefu. Oyo Yozefu ye waliiri eba wa Mariya. Na Mariya ye waburhaga Yeesu olaala bayirika Kirisitu .,"Jacob engendra Joseph, lépoux de Marie, de laquelle est né Jésus, qui est appelé Christ."
MAT.1.17,"Ntya, gurhengera oku Abrahaamu guhika ku Daawudi hali bisisi ekumi na bine. Na gurhengera oku Daawudi guhika amango aBaisraheeli baheekagwa eBabilooni, hali bindi bisisi ekumi na bine. Kandi gurhengera oguheekwa eBabilooni guhika ku Kirisitu, hali bindi bisisi ekumi na bine.","Il y a donc en tout quatorze générations depuis Abraham jusquà David, quatorze générations depuis David jusquà la déportation à Babylone, et quatorze générations depuis la déportation à Babylone jusquau Christ."
MAT.1.18,"Okuburhwa kwa Yeesu kw'aliiri ntya: Mariya, nyina wa Yeesu, alishambaazizwe na Yozefu. Aliko embere z'obuhya, abonekana okw'ali bukule. Obo bukule abuheekaga kugerera obuhashe bwa Muuka-Mutagatiifu.","Voici de quelle manière arriva la naissance de Jésus-Christ. Marie, sa mère, ayant été fiancée à Joseph, se trouva enceinte, par la vertu du Saint-Esprit, avant quils eussent habité ensemble."
MAT.1.19,"Yozefu mushambaaza waage, aliiri muntu okwaneene embere za Nnamahanga, arhalishondere kumukoza eshoni embere z'abantu. Echo charhuma ahiga kumuleka omu bwibisho.","Joseph, son époux, qui était un homme de bien et qui ne voulait pas la diffamer, se proposa de rompre secrètement avec elle."
MAT.1.20,"Yozefu abeere ali akengera kw'ogoola muhigo, malahika wa Nnaweerhu amubonekera omu biloorho anamubwira ntya: «Yozefu, mugala wa Daawudi, orhayuubahaga gufulusa mukaawe Mariya, kwenge abeere bukule oku buhashe bwa Muuka-Mutagatiifu.","Comme il y pensait, voici, un ange du Seigneur lui apparut en songe, et dit: Joseph, fils de David, ne crains pas de prendre avec toi Marie, ta femme, car lenfant quelle a conçu vient du Saint-Esprit;."
MAT.1.21,"Aburha omwana w'obuzaana, nji wamuyirika Yeesu, kwenge yeewe ye wachungula abantu baage gurhenga omu byaaha byaabo.».","elle enfantera un fils, et tu lui donneras le nom de Jésus; cest lui qui sauvera son peuple de ses péchés."
MAT.1.22,"Ebyoola byooshi byabaaga, y'ebinwa bijirike ebi Nnaweerhu aderhaga ntya kugerera omuleebi:.",Tout cela arriva afin que saccomplît ce que le Seigneur avait annoncé par le prophète:.
MAT.1.23,"«Omunyere orhashubiraga kumenya omulume nj'aba bukule; nj'aburha omwana w'obuzaana. Nji bamuyirika Manuweeri», kw'okuderha ntya: «Nnamahanga ali haguma neerhu.».","Voici, la vierge sera enceinte, elle enfantera un fils, Et on lui donnera le nom dEmmanuel, ce qui signifie Dieu avec nous."
MAT.1.24,"Yozefu abeere asisimuka, ajira ebi malahika wa Nnaweerhu amurhegekaga, afulusa mukaage.","Joseph sétant réveillé fit ce que lange du Seigneur lui avait ordonné, et il prit sa femme avec lui."
MAT.1.25,"Aliko arhalyaamaga na Mariya guhika amango aburhaga omwana w'obuzaana. N'oyo mwana, Yozefu amuyirika Yeesu.","Mais il ne la connut point jusquà ce quelle eût enfanté un fils, auquel il donna le nom de Jésus."
