source,source_url,translation_url,ref,mashi,french,unit_type,review_status,quality_flags
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:1,"Amazîno ga bene Israheli bajâga e Mîsiri bayijàga haguma na Yakôbo, ngasi muguma n’omulala gwâge:","Voici les noms des fils d’Israël, venus en Égypte avec Jacob et la famille de chacun d’eux:",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:2,"Rubeni, Simoni, Levi na Yûda,","Ruben, Siméon, Lévi, Juda,",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:3,"Isakari, Zabuloni na Benyamini,","Issacar, Zabulon, Benjamin,",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:4,"Dani na Nefutali, Gadi na Aseri.","Dan, Nephthali, Gad et Aser.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:5,"Abo bene Yakôbo bali bantu makumi gali nda, Yozefu yêhe erhi akola abà e Mîsiri.",Les personnes issues de Jacob étaient au nombre de soixante-dix en tout. Joseph était alors en Égypte.,verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:6,"Yozefu na bene wâbo boshi kwo n’okwo, n’eryôla iburha lyoshi.","Joseph mourut, ainsi que tous ses frères et toute cette génération-là.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:7,"Bene-Israheli banaciyôloloka, baluga, babà mwandu, bagala, bagandâza, babumba ecihugo.","Les enfants d’Israël furent féconds et multiplièrent, ils s’accrurent et devinrent de plus en plus puissants. Et le pays en fut rempli.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:8,"Lêro omwâmi muhyâhya, orhalimanyire Yozefu, anaciyîma omu Mîsiri.","Il s’éleva sur l’Égypte un nouveau roi, qui n’avait point connu Joseph.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:9,"Anacibwîra abantu bâge, erhi: «Ka murhabwîni oku bene-Israheli bajà baluga banazibuha kurhulusha?",Il dit à son peuple: Voilà les enfants d’Israël qui forment un peuple plus nombreux et plus puissant que nous.,verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:10,"Rhubasingire obwenge bushinganîne, lyo baleka okuyôloloka. Erhi ebîrha byankabà, hali amango bakacihira olunda lw’ababisha, na hano babà bamarhulwîsa, bacîrhengeremwo cino cihugo».","Allons! Montrons-nous habiles à son égard; empêchons qu’il ne s’accroisse, et que, s’il survient une guerre, il ne se joigne à nos ennemis, pour nous combattre et sortir ensuite du pays.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:11,"Okubundi banacibahirakwo abarhambo bakazibakolêsa obukûkuru, mpu lyo babagombya n’emikolo mizibu. Ntyo kwo bayûbakire Faraoni mwâmi w’e Mîsiri ebishagala by’embîko, Pitomu na Ramusesi.","Et l’on établit sur lui des chefs de corvées, afin de l’accabler de travaux pénibles. C’est ainsi qu’il bâtit les villes de Pithom et de Ramsès, pour servir de magasins à Pharaon.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:12,"Ci oku babalibuza ntyo, erhi kwo nabo bayûshûka banazibuha kulusha: abanya-Mîsiri bakazilama omu côbà ca bene-Israheli.","Mais plus on l’accablait, plus il multipliait et s’accroissait; et l’on prit en aversion les enfants d’Israël.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:13,"Lêro abanya-Mîsiri bakolêsa bene-Israheli okurhalusire,",Alors les Égyptiens réduisirent les enfants d’Israël à une dure servitude.,verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:14,"babalibuza n’emikolo midârhi: okulabarha ebijondo, okujira amadofali, emikolo y’omu mashwa yoshi, na ngasi yindi mikolo y’okubalibuza.","Ils leur rendirent la vie amère par de rudes travaux en argile et en briques, et par tous les ouvrages des champs: et c’était avec cruauté qu’ils leur imposaient toutes ces charges.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:15,"Omwâmi w’e Mîsiri anacibwîra abakazi bâlikwa bakagibusa abakazi b’Abayahudi, muguma muli bo ye wali Shifra n’owundi ye Puwa, erhi:","Le roi d’Égypte parla aussi aux sages-femmes des Hébreux, nommées l’une Schiphra, et l’autre Pua.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:16,"«Nka mwabusa abakazi b’Abayahudi, mukâlola bwinjà, aciri oku ncingo, mwâna muci obusirwe. Akabà mwâna-rhabana, munamuyîrhe; akabà mwâna-nyere, munamuleke alame.»","Il leur dit: Quand vous accoucherez les femmes des Hébreux et que vous les verrez sur les sièges, si c’est un garçon, faites-le mourir; si c’est une fille, laissez-la vivre.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:17,"Ci abo bakazi b’okubusa barhînya Nyamuzinda, barhajiraga oku mwâmi w’e Mîsiri ababwîraga, bakazileka abânarhabana balame.","Mais les sages-femmes craignirent Dieu, et ne firent point ce que leur avait dit le roi d’Égypte; elles laissèrent vivre les enfants.",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:18,"Lêro mwâmi w’e Mîsiri anacibahamagala, ababwîra, erhi: «Càrhumire mujira ntyo munaleka abânarhabana balama?»","Le roi d’Égypte appela les sages-femmes, et leur dit: Pourquoi avez-vous agi ainsi, et avez-vous laissé vivre les enfants?",verse,needs_review,
eBible Exodus: shr + fraLSG,https://ebible.org/shr/EXO01.htm,https://ebible.org/fraLSG/EXO01.htm,EXO 1:19,"Balya bakazi b’okubusa banacibwîra mwâmi Faraoni mwâmi w’e Mîsiri, mpu: «Abakazi b’Abayahudi barhali ak’abakazi banya-Mîsiri; babà bakazi bazibu; embere omukazi w’okubusa abahikeho, erhi mîra baburhaga.»",Les sages-femmes répondirent à Pharaon: C’est que les femmes des Hébreux ne sont pas comme les Égyptiennes; elles sont vigoureuses et elles accouchent avant l’arrivée de la sage-femme.,verse,needs_review,
