language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,f866eeb1f6774c99,1CH.1.15,"les Héviens, les Arkiens, les Siniens.",Mashi/Shi,"Abahiti, Abaarki, Abasini.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,768e6e939f847ed1,1CH.1.26,"Serug, Nachor, Térach.",Mashi/Shi,"Reu aburha Serugi, Serugi aburha Nahori, Nahori aburha Tera.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,561403f1934f3565,1CH.1.36,"Fils dÉliphaz: Théman, Omar, Tsephi, Gaetham, Kenaz, Thimna et Amalek.",Mashi/Shi,"Bagala ba Elifazi, bo: Temani, Omari, Sefi, Gatamu, Kenazi, Timna na Amaleki.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,1252aacc9641e637,1CH.10.11,Tout Jabès en Galaad ayant appris tout ce que les Philistins avaient fait à Saül.,Mashi/Shi,"Abantu be Yabeshi, omu Galadi, bayumva okwo kwoshi Abafilistini bahenyire Saulu.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,4231f0f236199308,1CH.10.13,"Saül mourut, parce quil se rendit coupable dinfidélité envers lÉternel, dont il nobserva point la parole, et parce quil interrogea et consulta ceux qui évoquent les morts.",Mashi/Shi,"Saulu afà bulya àligomîre Nyakasane: arhashibiriraga amarhegeko gâge, ciru anagendilaguza, iroho lya nyakwîgendera analidôse ihano.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,088d361a328b82bd,1CH.11.31,"Ithaï, fils de Ribaï, de Guibea des fils de Benjamin. Benaja, de Pirathon.",Mashi/Shi,"Itayi, mugala wa Ribayi, we Gibeya, omu cihugo ca Benyamini. Benaya, we Pireyatoni.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,71a8233385e3cd51,1CH.12.12,"Jochanan, le huitième; Elzabad, le neuvième;.",Mashi/Shi,"owa kali ndarhu Atayi, owa kali nda Eliyeli.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,63bcb2c55694ffa6,1CH.12.17,"David sortit au-devant deux, et leur adressa la parole, en disant: Si vous venez à moi dans de bonnes intentions pour me secourir, mon cœur sunira à vous; mais si cest pour me tromper au profit de mes ennemis, quand je ne commets aucune violence, que le Dieu de nos pères le voie et quil fasse justice!.",Mashi/Shi,Omurhwe gwa bene Benyamini nogwa bene Yûda gwajibugâna Daudi emunda àli acîfulisire.,verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,37bd1a12a157cf5e,1CH.13.1,"David tint conseil avec les chefs de milliers et de centaines, avec tous les princes.",Mashi/Shi,"Daudi anacijà omu ihano haguma nabakulu babasirika bâge, àbayimangira ebihumbi nabayimangira amagana, haguma nabandi barhambo bolubaga.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
Mashi/Shi,shr,Mashi (DRC),South Kivu,BIBLIYA NTAGATIFU OMU MASHI / French Louis Segond 1910,https://ebible.org/find/details.php?id=shr,2026-08-22,1d9075c8afc972fd,1CH.15.8,"des fils dÉlitsaphan, Schemaeja le chef et ses frères, deux cents;.",Mashi/Shi,"omurhambo Shemaya, na bandi bantu magana abirhi bobûko bwa Elisafani;.",verse,religious,CC BY 4.0,verified_source,,Authentic open Mashi source retained as supplied; deterministic Eastern-track sample.
