verse_key,shr,fr
GEN.1.1,Aha murhondêro Nnâmahanga alema amalunga nigulu.,"Au commencement, Dieu créa les cieux et la terre."
GEN.1.2,"Igulu lyàli cingiringiri, civange, cimpinage lirhaligwêrhe oku liyôsire lirhanalimwo bici ci Mûka gwa Nnâmahanga akagiyerêra oku mîshi.","La terre était informe et vide: il y avait des ténèbres à la surface de labîme, et lesprit de Dieu se mouvait au-dessus des eaux."
GEN.1.3,"Nnâmahanga aderha, erhi: «Obulangashane bubè». Obulangashane bwanaciba.",Dieu dit: Que la lumière soit! Et la lumière fut.
GEN.1.4,Nnâmahanga abona oku obulangashane buli bwinjà. Anaberûla obulangashane nomwizimya.,Dieu vit que la lumière était bonne; et Dieu sépara la lumière davec les ténèbres.
GEN.1.5,"Ayîrika obulangashane mûshi nomwizimya aguyîrika budufu. Bwayira bwanaca, lwo lusiku lurhanzi.","Dieu appela la lumière jour, et il appela les ténèbres nuit. Ainsi, il y eut un soir, et il y eut un matin: ce fut le premier jour."
GEN.1.6,"Nnâmahanga aderha, erhi: «Ecirêre cibè aha karhî kamîshi ciberûle amîshi namîshi».","Dieu dit: Quil y ait une étendue entre les eaux, et quelle sépare les eaux davec les eaux."
GEN.1.7,Nnâmahanga ajira ecirêre câbà lubibi lwamîshi gali idako nagali enyanya lyecirêre. Byanacibà ntyo.,"Et Dieu fit létendue, et il sépara les eaux qui sont au-dessous de létendue davec les eaux qui sont au-dessus de létendue. Et cela fut ainsi."
GEN.1.8,"Nnâmahanga ayîrika ecirêre malunga. Bwayira bwanaca, lwo lusiku lwa kabiri.","Dieu appela létendue ciel. Ainsi, il y eut un soir, et il y eut un matin: ce fut le second jour."
GEN.1.9,"Nnâmahanga aderha, erhi: «Amîshi gali idako lyecirêre gacigushe haguma nahakazire habonekane». Byanacibà ntyo.","Dieu dit: Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse. Et cela fut ainsi."
GEN.1.10,Nnâmahanga ayîrika ahakazire budaka necirundo camîshi aciyîrika nyanja. Nnâmahanga abona oku kuli kwinjà.,"Dieu appela le sec terre, et il appela lamas des eaux mers. Dieu vit que cela était bon."
GEN.1.11,"Nnâmahanga aderha, erhi: «Obudaka bumerekwo olubala lulimwo emburho, ngasi lubero nemirhi yamalehe, era emera oku idaho enaleheke nobujuru bwâyo, ngasi lubero». Byanacibà ntyo.","Puis Dieu dit: Que la terre produise de la verdure, de lherbe portant de la semence, des arbres fruitiers donnant du fruit selon leur espèce et ayant en eux leur semence sur la terre. Et cela fut ainsi."
GEN.1.12,"Idaho lyamerakwo olubala lubamwo obujuru, ngasi lubero nemirhi eleheka nolugemu ngasi lubero. Nnâmahanga abona oku kuli kwinjà.","La terre produisit de la verdure, de lherbe portant de la semence selon son espèce, et des arbres donnant du fruit et ayant en eux leur semence selon leur espèce. Dieu vit que cela était bon."
GEN.1.13,"Bwayira bwanaca, lwo lusiku lwa kasharhu.","Ainsi, il y eut un soir, et il y eut un matin: ce fut le troisième jour."
