language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,a81c6b4a23f7ec8a,kit5k:2,Où ces photos ont-elles été prises ?,Nande/Kinande,Bisosekanio bino bimiribawa hayi ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,51da4f038ed569c4,kit5k:3,"Prenez-en un quatre fois par jour, après les repas.",Nande/Kinande,"Mubye mukimya kw’ekighuma ngendo kani, oko kiro mwabirya.",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,7e81d1586b911b89,kit5k:4,J'ai besoin de quelqu'un avec qui parler.,Nande/Kinande,Nama lagh’okomundu werikania naye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,2937ad70b3798a8f,kit5k:5,Il a violé la loi.,Nande/Kinande,Sialita siky’omughambo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,ff2323b6555bb122,kit5k:6,Est-ce que la porte était fermée ?,Nande/Kinande,Olú̧kyô lwanabya lukingire ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,d2aa72fe1e888829,kit5k:7,J'apprécie les échecs.,Nande/Kinande,Ngatsemera obutatoka.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,47dd6f991bb83c63,kit5k:8,Je lui ai demandé son nom.,Nande/Kinande,Munga mubulay’erina liwe.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,d8266be9acb52c6d,kit5k:9,Donnez une chance à quelqu'un d'autre.,Nande/Kinande,Mutasya watikya n’owundi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,07d829206b198f26,kit5k:10,Le livre que j'ai acheté est sur la table.,Nande/Kinande,Ekitabu ekyo nilya ghula kiny’oko mesa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,e4c80c8dd0f8f2bd,kit5k:11,Mon ordinateur a cessé de fonctionner il y a quelques jours.,Nande/Kinande,Ekombiotya yagh’eno siyitasya kola hamahw’ebiro ngabyenebyo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,a86bae9db0a45002,kit5k:12,Tom ne sait pas où il est né.,Nande/Kinande,Yo Toma syaasi nga butirawahi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,abce6a95959499c5,kit5k:13,Il nous faut tous apprendre à faire face à cette situation.,Nande/Kinande,Kitolere itwigha eriyikakirya oko mwatsy’oyu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,7cf4a04ad2859292,kit5k:14,Y a-t-il des plantes auxquelles vous soyez allergiques ?,Nande/Kinande,Han’ebibaya ebyanga kukola nabi ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,039d3844bcbfb037,kit5k:15,Comment puis-je choisir un poisson frais?,Nande/Kinande,Nanga sombol’erihere ryo nyithi?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,d8bf983b2928b606,kit5k:16,Apporte-moi sa tête.,Nande/Kinande,Ndeter’omutwe wiwe.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,5ee47e731183d4a8,kit5k:17,Vous pouvez faire ce qui vous chante.,Nande/Kinande,Wangana kola ekyowanzire.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,a91b125667a453cd,kit5k:18,Prends tes cachets !,Nande/Kinande,Unyw’amabaly’aghu !,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,3a7087c83496e764,kit5k:19,C'est un joueur de tennis.,Nande/Kinande,Nimusati w’etinishi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,b8e96426385aa673,kit5k:20,Son père travaille à la banque.,Nande/Kinande,Tata wiwe aka sib’oko bhángi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,556a9859b566e887,kit5k:21,Il est vraiment sans cœur.,Nande/Kinande,Syawite mutima.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
Nande/Kinande,nnb,Nande (DRC),North Kivu,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-22,479133c97b3094ab,kit5k:22,Je n'ai pas de plaintes.,Nande/Kinande,Sinanga yighungumula.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; attribution required.
