verse_key,ngc,fr
RUT.1.1,"Ta masu madaledjaka bilombe Isalɛlɛ, ndja edaka enɛnɛ ta ngondo. Na bea momi omɔti o ngando e Bɛtɛlɛmɛ, ta mokpɔtɔ mo Yuda, akɛkɛ bodikama ta eliki e Moaba: yo, mwali o nde, engbanga na bana ba nde bami babae.","Du temps des juges, il y eut une famine dans le pays. Un homme de Bethléhem de Juda partit, avec sa femme et ses deux fils, pour faire un séjour dans le pays de Moab."
RUT.1.2,"Kombe e momi omina edaka Elimelɛki, kombe e mwali o nde edaka Naomi ko kombe i bana ba nde babae bami idaka Maloni na Kilioni. Badaka bato ba itungu i Epalata, ta ngando e Bɛtɛlɛmɛ e mo kpɔtɔ mo Yuda. Bakɛkɛ ta eliki e Moaba ko badikamaka oho.","Le nom de cet homme était Élimélec, celui de sa femme Naomi, et ses deux fils sappelaient Machlon et Kiljon; ils étaient Éphratiens, de Bethléhem de Juda. Arrivés au pays de Moab, ils y fixèrent leur demeure."
RUT.1.3,"Na bea Elimelɛki, momi o Naomi, agwaka ena ko Naomi adikaka yo mɛnɛ na bana ba nde bami babae.","Élimélec, mari de Naomi, mourut, et elle resta avec ses deux fils."
RUT.1.4,Bana bami babae bimina baosɔkɔ baseka ba eliki e Moaba ; o boso kombe e nde edaka Olopa ko o babae Luta. Ngɔngɔ i bobo boyeyoa oho mbuti na bianga domi.,"Ils prirent des femmes Moabites, dont lune se nommait Orpa, et lautre Ruth, et ils habitèrent là environ dix ans."
RUT.1.5,Maloni na Kilioni bagwaka pongono. Naomi adikaka yo mɛnɛ: pɛ bana ko pɛ momi.,"Machlon et Kiljon moururent aussi tous les deux, et Naomi resta privée de ses deux fils et de son mari."
RUT.1.6,"Kumu Yawɛ aokeaka bato ba nde ndjokwa: abapaka mia ma boyaka. Ehole eokaka Naomi bea, asalingoaka bɛngi akine eliki e Moaba, ayane ta mokpɔtɔ mo Yuda, engbanga na bakio ba nde.","Puis elle se leva, elle et ses belles-filles, afin de quitter le pays de Moab, car elle apprit au pays de Moab que lÉternel avait visité son peuple et lui avait donné du pain."
RUT.1.7,"Engbanga na bakio ba nde bali, Naomi adongaka ta polo edaka yo ko ayanaka ta mokpɔtɔ mo Yuda.","Elle sortit du lieu quelle habitait, accompagnée de ses deux belles-filles, et elle se mit en route pour retourner dans le pays de Juda."
RUT.1.8,"Naomi abalaka na bakio ba nde: «Edɛdi yanani, moto na moto ta ndako e nange e nde. Kina boo Kumu Yawɛ aokɔmeni bopele elenge akɔ no na bia ibagwa ko na mbi mɛnɛ!.","Naomi dit alors à ses deux belles-filles: Allez, retournez chacune à la maison de sa mère! Que lÉternel use de bonté envers vous, comme vous lavez fait envers ceux qui sont morts et envers moi!."
RUT.1.9,"Kina boo Yawɛ apɛ omɔti na omɔti o bino bogo ta ndako e momi okina!» Abhimbaka bakio ba nde babae bɛngi agbɔte na bu, endolo bayeaka mɛnɛ.","Que lÉternel vous fasse trouver à chacune du repos dans la maison dun mari! Et elle les baisa. Elles élevèrent la voix, et pleurèrent;."
RUT.1.10,Babalaka na nde: «Ngasa! Lakɛke na wɛ engbanga adi pako e wɛ».,"et elles lui dirent: Non, nous irons avec toi vers ton peuple."
RUT.1.11,"Endolo Naomi abasɔmbedjaka: «Bana ba mbi bali, yanani ta ndako i bino! Tina ndani wakimanakanini? Okani, naboani naikina bobota bana bami baboani boasɔni?.","Naomi, dit: Retournez, mes filles! Pourquoi viendriez-vous avec moi? Ai-je encore dans mon sein des fils qui puissent devenir vos maris?."
RUT.1.12,"Bana ba mbi, yanani adi no. Tengasa naimei mobange mɛnɛ naboaniti bokɛ naikina moki. Nongo nakabala boo nadi oko na ngulu, nadi na ndingo boo nadi bobota ; na bea naimani na momi ta bulu bu ko ngɔngɔ naboti bana bami.","Retournez, mes filles, allez! Je suis trop vieille pour me remarier. Et quand je dirais: Jai de lespérance; quand cette nuit même je serais avec un mari, et que jenfanterais des fils."
