language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,75a220778211753c,GEN.1.1,"Au commencement, Dieu créa les cieux et la terre.",Tabwa/Kitabwa,Pa kutendeka Leza waalengele myulu ni kyalo.,verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,381d254f88447731,GEN.1.2,"La terre était informe et vide: il y avait des ténèbres à la surface de labîme, et lesprit de Dieu se mouvait au-dessus des eaux.",Tabwa/Kitabwa,"Ozo musita, kyalo kyaali kyali sie kibeebeebe, kabili tekuba mwali kantu, ni nfinzi yaali yakupiliile pa menda azikile. Inzi Mweo wakua Leza waali walela peulu menda.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,f90e97e24eea4dc5,GEN.1.3,Dieu dit: Que la lumière soit! Et la lumière fut.,Tabwa/Kitabwa,"Leza waalandile evi, Kube kisue! Ni kisue kya-alukileko.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,bad9cf4773fa5963,GEN.1.4,Dieu vit que la lumière était bonne; et Dieu sépara la lumière davec les ténèbres.,Tabwa/Kitabwa,Leza waamwene nangue kisue kyaali kyaweme. Waalekenkaniizie kisue ni nfinzi.,verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,37b77dd9c3eea866,GEN.1.5,"Dieu appela la lumière jour, et il appela les ténèbres nuit. Ainsi, il y eut un soir, et il y eut un matin: ce fut le premier jour.",Tabwa/Kitabwa,"Kisue Leza waakiinikile musita wa koba, ni nfinzi waiinikile busiku. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa mambo.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,d722b3116268873f,GEN.1.6,"Dieu dit: Quil y ait une étendue entre les eaux, et quelle sépare les eaux davec les eaux.",Tabwa/Kitabwa,"Kabili Leza waalandile evi, Kube lweleele pa bukata bwa menda pakuti lulekenkanie menda ni menda.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,5500c86887c8bb1d,GEN.1.7,"Et Dieu fit létendue, et il sépara les eaux qui sont au-dessous de létendue davec les eaux qui sont au-dessus de létendue. Et cela fut ainsi.",Tabwa/Kitabwa,Evi Leza waakitile lweleele ni kulekekania menda ali pensina lweleele ku menda ali mu muulu. Evio i vikyaali.,verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,82270521aab76f8c,GEN.1.8,"Dieu appela létendue ciel. Ainsi, il y eut un soir, et il y eut un matin: ce fut le second jour.",Tabwa/Kitabwa,"Lweleele Leza waalwinikile lyulu. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa bubili.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,05ea40c0a9a9d915,GEN.1.9,"Dieu dit: Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse. Et cela fut ainsi.",Tabwa/Kitabwa,"Kabili Leza waalandile evi, Menda a pa kyalo akolonghane pa nkendo imo, evi musili umoneke. Evio i vikyaali.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
Tabwa/Kitabwa,tap,Taabwa (DRC),Southeastern DRC,Kitaabua New Testament / French Louis Segond 1910,https://ebible.org/Scriptures/details.php?id=tap,2026-08-22,3b678f1efdbf7b22,GEN.1.10,"Dieu appela le sec terre, et il appela lamas des eaux mers. Dieu vit que cela était bon.",Tabwa/Kitabwa,"Musili Leza wawinikile kyalo, ni menda aakolongheene pamo waenikile lyezi. Leza waamwene nangue kyaali kyaweme.",verse,religious,CC BY-SA 4.0,verified_source,,Tabwa copyright © 2023 The Word for the World International; aligned with public-domain French Segond 1910.
