verse_key,tap,fr
GEN.1.1,Pa kutendeka Leza waalengele myulu ni kyalo.,"Au commencement, Dieu créa les cieux et la terre."
GEN.1.2,"Ozo musita, kyalo kyaali kyali sie kibeebeebe, kabili tekuba mwali kantu, ni nfinzi yaali yakupiliile pa menda azikile. Inzi Mweo wakua Leza waali walela peulu menda.","La terre était informe et vide: il y avait des ténèbres à la surface de labîme, et lesprit de Dieu se mouvait au-dessus des eaux."
GEN.1.3,"Leza waalandile evi, Kube kisue! Ni kisue kya-alukileko.",Dieu dit: Que la lumière soit! Et la lumière fut.
GEN.1.4,Leza waamwene nangue kisue kyaali kyaweme. Waalekenkaniizie kisue ni nfinzi.,Dieu vit que la lumière était bonne; et Dieu sépara la lumière davec les ténèbres.
GEN.1.5,"Kisue Leza waakiinikile musita wa koba, ni nfinzi waiinikile busiku. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa mambo.","Dieu appela la lumière jour, et il appela les ténèbres nuit. Ainsi, il y eut un soir, et il y eut un matin: ce fut le premier jour."
GEN.1.6,"Kabili Leza waalandile evi, Kube lweleele pa bukata bwa menda pakuti lulekenkanie menda ni menda.","Dieu dit: Quil y ait une étendue entre les eaux, et quelle sépare les eaux davec les eaux."
GEN.1.7,Evi Leza waakitile lweleele ni kulekekania menda ali pensina lweleele ku menda ali mu muulu. Evio i vikyaali.,"Et Dieu fit létendue, et il sépara les eaux qui sont au-dessous de létendue davec les eaux qui sont au-dessus de létendue. Et cela fut ainsi."
GEN.1.8,"Lweleele Leza waalwinikile lyulu. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa bubili.","Dieu appela létendue ciel. Ainsi, il y eut un soir, et il y eut un matin: ce fut le second jour."
GEN.1.9,"Kabili Leza waalandile evi, Menda a pa kyalo akolonghane pa nkendo imo, evi musili umoneke. Evio i vikyaali.","Dieu dit: Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse. Et cela fut ainsi."
GEN.1.10,"Musili Leza wawinikile kyalo, ni menda aakolongheene pamo waenikile lyezi. Leza waamwene nangue kyaali kyaweme.","Dieu appela le sec terre, et il appela lamas des eaux mers. Dieu vit que cela était bon."
GEN.1.11,"Kabili Leza waalandile evi, Kyalo kimenie bikusi ni saasa uliwaseekako mbezu ilekenkeene, ni bimuti bilibyaseekako mazabo kukonkana ni misango yabyo, mazabo ali ni mbezu mukati. Evio i vikyaali.","Puis Dieu dit: Que la terre produise de la verdure, de lherbe portant de la semence, des arbres fruitiers donnant du fruit selon leur espèce et ayant en eux leur semence sur la terre. Et cela fut ainsi."
GEN.1.12,"Kyalo kyaameniizie bikusi ni saasa uliwaseekako mbezu ilekenkeene, ni bimuti bilibyaseekako mazabo kukonkana ni misango yabyo, mazabo ali ni mbezu mukati. Leza wamwene nangue kyaali kyaweme. Evio i vikyaali.","La terre produisit de la verdure, de lherbe portant de la semence selon son espèce, et des arbres donnant du fruit et ayant en eux leur semence selon leur espèce. Dieu vit que cela était bon."
GEN.1.13,"Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa butatu.","Ainsi, il y eut un soir, et il y eut un matin: ce fut le troisième jour."
GEN.1.14,"Kabili Leza waalandile evi, Misaniko imoneke mu lyulu ya kuti ilekenkanie musita wa koba ni musita wa busiku, kuti iye yali tulangi twa nsita ni nsiku ni myaka.","Dieu dit: Quil y ait des luminaires dans létendue du ciel, pour séparer le jour davec la nuit; que ce soient des signes pour marquer les époques, les jours et les années;."
GEN.1.15,kabili misaniko iye yali mu lyulu kuti iye yasanikila pa kyalo. Evio i vikyaali.,"et quils servent de luminaires dans létendue du ciel, pour éclairer la terre. Et cela fut ainsi."
GEN.1.16,"Leza waakitile misaniko ibili ikata, musaniko utaniisie uye wasanikila musita wa koba, ni ukeepeleko uye wasanikila musita wa busiku. Kabili Leza waakitile ni ntanda.","Dieu fit les deux grands luminaires, le plus grand luminaire pour présider au jour, et le plus petit luminaire pour présider à la nuit; il fit aussi les étoiles."
GEN.1.17,Leza waabiikile misaniko mu lyulu kuti iye yasanikila pa kyalo.,"Dieu les plaça dans létendue du ciel, pour éclairer la terre."
