verse_key,yaf,fr
MAT.1.1,"Tala ndala ya Yesu Kidisitu , mwana wa Tavidi yi mwana wa Bulahami.","Généalogie de Jésus-Christ, fils de David, fils dAbraham."
MAT.1.2,Bulahami kábuta Yizaki amana Yizaki kábuta Yakobi; Yakobi kábuta Yuta yi baphangi bandi ba bayakala;.,Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;.
MAT.1.3,"Yuta kábuta Fwalesi yi Zala, ngudi wa bawu Thamadi; Fwalesi kábuta Hesiloni; Hesiloni kábuta Alami;.",Juda engendra de Thamar Pharès et Zara; Pharès engendra Esrom; Esrom engendra Aram;.
MAT.1.4,Alami kábuta Aminatabi; Aminatabi wábuta Nasoni; Nasoni kábuta Salamani;.,Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;.
MAT.1.5,"amana Salamani kábuta Bowasi, ngudi wandi Lahabi; Bowasi kábuta Yobedi ngudi wandi Luti; Yobedi kábuta Yese.",Salmon engendra Boaz de Rahab; Boaz engendra Obed de Ruth;.
MAT.1.6,"Yese kábuta Tavidi wuna wákituka kyamvu. Tavidi Kábuta Solumoni, yi mukhetu wa Wudiye;.",Obed engendra Isaï; Isaï engendra David. Le roi David engendra Salomon de la femme dUrie;.
MAT.1.7,Solumoni kábuta Lobuwami; Lobuwami kábuta Abiya; Abiya kábuta Azafu;.,Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asa;.
MAT.1.8,Azafu kábuta Yosafati; Yosafati kábuta Yolami; Yolami kábuta Ozyasi;.,Asa engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozias;.
MAT.1.9,Ozyasi kábuta Yowatami; Yowatami kábuta Akhazi; Akhazi kábuta Ezekyasi;.,Ozias engendra Joatham; Joatham engendra Achaz; Achaz engendra Ézéchias;.
MAT.1.10,Ezekyasi kábuta Manase; Manase kábuta Amosi; Amosi kábuta Yozyasi;.,Ézéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;.
MAT.1.11,Yozyasi kábuta Yekonya yi baphangi bandi ba bayakala; mu tangwa bákala mu tsi ya kinzenza ku Babiloni.,"Josias engendra Jéchonias et ses frères, au temps de la déportation à Babylone."
