language,iso_code,track,region_group,target_pairs,registry_pairs,processed_csv,actual_pairs,reference_language,publication_handling,sha256,status,issues
Lingala,lin,National,DRC-wide,4999,4999,language_resources/lingala-lin/data/processed/lingala-french_candidates.csv,4999,French,publishable_or_metadata_qualified,29f3e07cfd40cf1f5a72d220ae1604da9faaf2dd0a62855882d194b452c2a873,ready_for_freeze,
Kikongo ya Leta,ktu,National,DRC-wide,2469,2469,language_resources/kituba-ktu/data/processed/kituba-english_candidates.csv,2469,English,publishable_or_metadata_qualified,69fa7a43bdbbaf09971362c58ca3c7a920d3777512e93295fb249eb614cb0b13,ready_for_freeze,
Ciluba,lua,National,DRC-wide,1500,397971,language_resources/ciluba-lua/data/processed/ciluba-english_candidates.csv,397971,English,publishable_or_metadata_qualified,59cf84d837588f9743f01290e074c37bff4d670da543e3590e370dc512eedf6b,ready_for_freeze,
Congo Swahili,swc,National,DRC-wide,25213,25213,language_resources/congo-swahili-swc/data/processed/congo-swahili-french_candidates.csv,25213,French,publishable_or_metadata_qualified,41cba9a1414bffe5df416d08d63b888364cc270547f2b8580f5f3fefc8ace67f,ready_for_freeze,
Luba-Katanga,lub,Regional,Southeastern DRC,1500,197411,language_resources/kiluba-lub/data/processed/kiluba-english_candidates.csv,197411,English,publishable_or_metadata_qualified,2406a2ffcf822847ae44853b49ca7afd9555880df9d1d00692e3e1393280eb18,ready_for_freeze,
Tabwa,tap,Regional,Southeastern DRC,1500,5039,language_resources/tabwa-tap/data/processed/tabwa-french_candidates.csv,5039,French,publishable_or_metadata_qualified,ce4cd764b59380f18db2c5ced3a7c68983ea610045c8cffe593cc8b99d9006a8,ready_for_freeze,
Bemba,bem,Regional,Southeastern DRC,1500,381259,language_resources/bemba-bem/data/processed/bemba-english_candidates.csv,381259,English,publishable_or_metadata_qualified,851c275d86e001555d996d7915c6527edd9de42eaf9c8e1f014b70ebc296b601,ready_for_freeze,
Aushi,auh,Regional,Southeastern DRC,1500,1900,language_resources/aushi-auh/data/processed/aushi-french_candidates.csv,1900,French,publishable_or_metadata_qualified,b730f844fc5a8b66fbf54552d23501e4de0313712be617e6badd442655f2c99c,ready_for_freeze,
Lunda,lun,Regional,Southeastern DRC,1500,134568,language_resources/lunda-lun/data/processed/lunda-english_candidates.csv,134568,English,publishable_or_metadata_qualified,887cb0ae9081ae6f2d01498b023b73eef635c9d48f1284cfb54204a6f451e892,ready_for_freeze,
Tetela,tll,Regional,Central DRC,1500,222212,language_resources/tetela-tll/data/processed/tetela-english_candidates.csv,222212,English,publishable_or_metadata_qualified,e8d67e1bf10a902bc8ce8ca8d6625e6a5dbe982ef25115e25702b0de59bf48b0,ready_for_freeze,
Songe,sop,Regional,Central DRC,1500,51069,language_resources/songe-sop/data/processed/songe-english_candidates.csv,51069,English,publishable_or_metadata_qualified,a8fed95beda2898c57bd236e5416a2e4f105a4929c442ffb845acd9beb58db2e,ready_for_freeze,
Kanyok,kny,Regional,Central DRC,1500,4788,language_resources/kanyok-kny/data/processed/kanyok-french_candidates.csv,4788,French,restricted_local,3d7c26969eedf7c68cf24f4a54b77ad6bf52425b70714c96bd2f83eb254d3de3,ready_for_freeze,
Ruund,rnd,Regional,Central DRC,1500,133626,language_resources/ruund-rnd/data/processed/ruund-english_candidates.csv,133626,English,publishable_or_metadata_qualified,e1a3d5a32cd7807fa2bbe042f638d563ba184575fd97421923665a159c66ff25,ready_for_freeze,
Yaka,yaf,Regional,Western DRC,1500,7104,language_resources/yaka-yaf/data/processed/yaka-french_candidates.csv,7104,French,publishable_or_metadata_qualified,c6f1af98114e072c25de687641b29cd5bc73afb2a3e263f4e8fa9e4da393f75d,ready_for_freeze,
Kikongo,kon,Regional,Western DRC,1500,315959,language_resources/kikongo-kon/data/processed/kikongo-english_candidates.csv,315959,English,publishable_or_metadata_qualified,83e3bf958cb61740db11f3981525512538e3ea33d043b79a06b321832eddd558,ready_for_freeze,
Yansi,yns,Regional,Western DRC,1500,7951,language_resources/yansi-yns/data/processed/yansi-french_candidates.csv,7951,French,publishable_or_metadata_qualified,85b728d1e715d396e4f5349251a210d8ce51a85b324dc1d6cc01da384e47dda8,ready_for_freeze,
Yombe,yom,Regional,Western DRC,1500,10408,language_resources/yombe-yom/data/processed/yombe-french_candidates.csv,10408,French,publishable_or_metadata_qualified,e80ce024ae9b88151d7bf369a9ab6471c5205b3c64ca1396c19770db8ecf943f,ready_for_freeze,
Mongo,lol,Regional,Northwestern Congo Basin,1500,38815,language_resources/mongo-lol/data/processed/mongo-french_candidates.csv,38815,French,restricted_local,56b3eda32e6f2b0bafed19713b839bdfd302d14115f64150a7422bb7176bd42d,ready_for_freeze,
Ngombe,ngc,Regional,Northwestern Congo Basin,1500,12735,language_resources/ngombe-ngc/data/processed/ngombe-french_candidates.csv,12735,French,publishable_or_metadata_qualified,15a51a9e8665384e96280bba55bcb4d2787099503821e99548b8be5ecbb2863f,ready_for_freeze,
Northern Ngbandi,ngb,Regional,Northwestern Congo Basin,1500,7887,language_resources/northern-ngbandi-ngb/data/processed/northern-ngbandi-french_candidates.csv,7887,French,restricted_local,bb6e0c8d2a00633e70062dca61ed9faa7cc2e9f792e47d79f66a10035db88fb2,ready_for_freeze,
Zande,zne,Regional,Northern DRC,1500,30865,language_resources/zande-zne/data/processed/zande-french_candidates.csv,30865,French,restricted_local,a1109e54824906bcb81ec8675ae456d7e7b7ac9027b3f993bc496771b5f60187,ready_for_freeze,
Logo,log,Regional,Northern DRC,1500,9649,language_resources/logo-log/data/processed/logo-french_candidates.csv,9649,French,restricted_local,cda7a45a3eb8d8926fb336a51a1ca0cd1d380dec638904bd9bd2d4552b91659f,ready_for_freeze,
Mayogo,mdm,Regional,Northern DRC,1500,7911,language_resources/mayogo-mdm/data/processed/mayogo-french_candidates.csv,7911,French,restricted_local,f5878ea901646c5ccdf0d4f622a8efaabbc8bf389f80707867bd3a9ce3732fcf,ready_for_freeze,
